source,target,weight
ABAVIJ,ABAVOP,0.9999999403953552
ABAVIJ,BOWDIC,0.9999999403953552
ABAVIJ,CIJBEE,0.9999999403953552
ABAVIJ,AHETAK,0.9999999403953552
ABAVIJ,BASJUB,0.5499999523162842
ABAVIJ,CEBGAS,0.4535714089870453
ABAVIJ,DARYIF,0.9977757334709167
ABAVOP,CEYPUT,0.9999999403953552
ABAVOP,BOWDOI,0.9999999403953552
ABAVOP,BOWDIC,0.9999999403953552
ABAVOP,ABAVUV,0.9999999403953552
ABAVOP,BOWDUO,0.9999999403953552
ABAVOP,BUVNIR,0.9977757334709167
ABAVUV,CEYPUT,0.9999999403953552
ABAVUV,CIJBEE,0.9999999403953552
ABAYIM,ABAYOS,1.0
ABAYIM,ABAYOS01,1.0
ABAYIM,DEGBUO,0.9848994612693787
ABAYIM,ASUQOV,0.9821665287017822
ABAYIO,DEPXIG,1.0
ABAYIO,DEPXOM,1.0
ABAYIO,CIBTIT,1.0
ABAYIO,CEHKUW,0.9970499873161316
ABAYIO,CUMLUT,0.9970499873161316
ABAYOS,ABAYOS01,1.0
ABAYOS,DEGBUO,0.9848994612693787
ABAYOS,DEGBOI,0.9794056415557861
ABAYOS01,DEGBUO,0.9848994612693787
ABAYOU,CIFMIP,0.9999999403953552
ABAYOU,AVUCEA,0.9999999403953552
ABAYOU,CIPLIX,0.9999999403953552
ABAYOU,BEXVAD01,0.699999988079071
ABEFUL,DIBJEF,0.9998192191123962
ABEFUL,DIBJIJ,0.9998192191123962
ABEFUL,COKROL,0.6292967796325684
ABEMIF,DIHVIB01,1.0
ABEMIF,DIHVIB,1.0
ABEMIF,BODPAN,1.0
ABEMIF,AHEBAS,0.4724137783050537
ABEMIF,ALAMUW,0.550000011920929
ABEMIF,ASOSUY,0.6684210300445557
ABEMIF,BABREE,0.7749999761581421
ABEMIF,BAXGEP,0.64000004529953
ABEMIF,CELZIE,0.6378308534622192
ABEMIF,CELZOK,0.7331249713897705
ABIWOX,ADONEP,0.9996275901794434
ABIWOX,BUKMUQ01,0.9977757334709167
ABIWOX,BUKMUQ,0.9977757334709167
ABIWOX,ACAJOG,0.7257145643234253
ABIWOX,ACAKEX,0.7257145643234253
ABIWOX,AVIPAX,0.9963152408599854
ABIWOX,AVIPOL,0.9963152408599854
ABIWOX,BIYTEK,0.7260869145393372
ABIWOX,BIYTOU,0.9972895383834839
ABUFOU,ABUFUA,0.9989085793495178
ABUFOU,CUTKUY,0.9819706082344055
ABUFOU,AYOQEM,0.7250717878341675
ABUFOU,CIBTIR,0.7080575823783875
ABUFOU,CUBBEI,0.3974996507167816
ABUFUA,CUTKUY,0.9800522327423096
ABUFUA,AYOQEM,0.7285497188568115
ABUFUA,CIBTIR,0.7061392068862915
ABUFUA,CUBBEI,0.398288369178772
