source,target,weight
ABAVIJ,ABAVOP,0.9999999403953552
ABAVIJ,BOWDIC,0.9999999403953552
ABAVIJ,CIJBEE,0.9999999403953552
ABAVIJ,AHETAK,0.9999999403953552
ABAVIJ,DARYIF,0.9977757334709167
ABAVOP,CEYPUT,0.9999999403953552
ABAVOP,BOWDIC,0.9999999403953552
ABAYIM,DEGBUO,0.9848994612693787
ABAYIO,CUMLUT,0.9970499873161316
ABAYIO,DEPXIG,1.0
ABAYIO,CIBTIT,1.0
ABEMIF,DIHVIB,1.0
ABIWOX,BUKMUQ01,0.9977757334709167
ABUFOU,ABUFUA,0.9989085793495178
ABUWOJ,BADZAK,1.0
ABUWOJ,CUZBUW,0.9977757334709167
ABUWOJ,BUKLOJ01,0.9977757334709167
ACALAT,ACALEX,0.9998192191123962
ACMPCD,COBWEV,0.7300000190734863
ACMPCD,DEFFEC,0.9968591928482056
ACODAA,ACODEE,1.0
ACODIH,COGNAO,1.0
ACODIH,CESQUP,1.0
ACODIH,BELTUJ,0.9977757334709167
ACOFEG,ACOFIK,0.9998192191123962
ACUWIH,ACUWON,0.9972895383834839
ADASIJ,ADASUV,0.9996275901794434
ADATOQ,ADATUW,1.0
ADATUW,ADAVEI,1.0
ADEZUH,BUQROV,1.0
ADINCU,CUSYUM,1.0
ADINCU,CUSZIB,1.0
ADINCU,CUXLEO,1.0
ADODII,ADODUU,0.9985291957855225
AFENOQ,AFENOQ01,0.9999999403953552
AFIPUB,BAQXOG01,0.9970499873161316
AFIPUB,BAQXOG,0.9970499873161316
AFIPUB,BAQMOW,0.9970499873161316
AFIXAO,CUIMDZ01,0.9996275901794434
AFOTOF,CEMBII,0.994364321231842
AFOTOF,CEJXEW,0.9998192191123962
AFOTOF,AFOTUL,0.9996544122695923
AFOTOF,AFOVOH,0.9985299110412598
AFOTUL,CEJXEW,0.9990724921226501
AFOVOH,CEJXEW,0.9987543821334839
AFUFEP,APAYIB,0.9996544122695923
AFUFEP,APAZAU,0.9996544122695923
AGAFAS,AVESOL,0.9977757334709167
AGDCNM,DEHRIR,1.0
AGDCNM,BITCUE,1.0
AGDCNM,AKECOK,1.0
AGIMOU,CEWQED,0.9974996447563171
AGIMOU,CEWQAZ,0.9974996447563171
AGIREP,BEQKAM,1.0
AGONAM,CUKXAJ,1.0
AGONAM,AGONEQ,1.0
AGONAM,DAHMIJ,1.0
AGONEQ,CUKXAJ,1.0
AGONEQ,DAHMIJ,1.0
AGOXAL03,DALSER,0.9971465468406677
AGUVEE,AGUVOO,1.0
AGUVOO,CICSOW02,0.9985496997833252
AGUWEG01,BEPFIN,0.9978553056716919
AGUWEG01,BEPBAB,0.9972909092903137
AHAJUP,CUMFOG,0.5602806806564331
AHALEB,AHALEB02,1.0
AHALEB01,AHALEB02,1.0
