source,target,weight
ABAVIJ,BOWDOI,1.0
ABAVIJ,BOWDIC,1.0
ABAVIJ,CEYPUT,1.0
ABAVIJ,KEJWAY,1.0
ABAVIJ,VEDGES,1.0
ABAVIJ,BOWDUO,1.0
ABAVIJ,VEDFUH,1.0
ABAVIJ,YODRAM,1.0
ABAVIJ,TATSIS01,1.0
ABAVIJ,ABAVOP,1.0
ABAVIJ,ABAVUV,1.0
ABAVIJ,ADIQEL,0.5
ABAVIJ,BASJUB,0.550000011920929
ABAVIJ,BIPXIK,1.0
ABAVIJ,DIVFOF,0.4162161946296692
ABAVIJ,JEKRAT,0.4535714089870453
ABAVIJ,LULGEF,0.6086956262588501
ABAVIJ,TILFEC,0.44411763548851013
ABAVOP,BOWDIC,1.0
ABAVOP,BIPXIK,1.0
ABAVOP,AHETAK,1.0
ABAVOP,VEDGIW,1.0
ABAVOP,CEYPUT01,1.0
ABAVOP,LASMAV,1.0
ABAVOP,CEYPUT,1.0
ABAVOP,CIJBEE,1.0
ABAVOP,BOWDOI,1.0
ABAVOP,ERUNIQ,1.0
ABAVOP,EXUXEC,1.0
ABAVOP,JEKRAT,0.4535714089870453
ABAVOP,LULGEF,0.6086956262588501
ABAVOP,TATSIS,1.0
ABAVOP,TATSIS01,1.0
ABAVOP,VEDFAN,1.0
ABAVOP,VEDFER,1.0
ABAVOP,VEDFIV,1.0
ABAVOP,VEDFOB,1.0
ABAVOP,VEDFUH,1.0
ABAVOP,VEDGAO,1.0
ABAVOP,VEDGES,1.0
ABAVOP,VODNOS,1.0
ABAVOP,YIGGEB,1.0
ABAVUV,BOWDIC,1.0
ABAVUV,CEYPUT,1.0
ABAVUV,AHETAK,1.0
ABAVUV,VEDGIW,1.0
ABAVUV,CEYPUT01,1.0
ABAVUV,VEDGAO,1.0
ABAVUV,BIPXIK,1.0
ABAVUV,CIJBEE,1.0
ABAVUV,LASMAV,1.0
ABAYIM,ABAYOS01,1.0
ABAYIM,ABAYOS,1.0
ABAYIM,YOSLOH,1.0
ABAYIM,EHAHIF,1.0
ABAYIM,JOXPET,1.0
ABAYIM,OLURUI,0.8999999761581421
ABAYIM,OLURUI01,0.8999999761581421
ABAYIM,URURUW,0.8999999761581421
ABAYIM,HUPTOB,0.8999999761581421
ABAYIM,MIVNAH,0.8999999761581421
ABAYIM,JEDGAB,0.389285683631897
ABAYIM,LACYOE,0.4000000059604645
ABAYIM,LACYUK,0.4000000059604645
ABAYIM,LACZEV,0.4000000059604645
ABAYIO,PUNYIH,1.0
ABAYIO,CIBTIT,1.0
ABAYIO,WEYQAU01,1.0
ABAYIO,WEYQAU,1.0
ABAYIO,WEYPUN,1.0
ABAYIO,WEYQAU03,1.0
ABAYIO,GINHOD,1.0
ABAYIO,DEPXIG,1.0
ABAYIO,DEPXOM,1.0
ABAYIO,WEYQAU05,1.0
ABAYOS,EHAHIF,1.0
ABAYOS,JOXPET,1.0
ABAYOS,YOSLOH,1.0
ABAYOS,ABAYOS01,1.0
ABAYOS,OLURUI,0.8999999761581421
ABAYOS,OLURUI01,0.8999999761581421
ABAYOS,ZAYMAP,0.8999999761581421
ABAYOS,MIVNAH,0.8999999761581421
ABAYOS,HUPTOB,0.8999999761581421
ABAYOS,CUZLAM,0.26363638043403625
ABAYOS,JEDGAB,0.389285683631897
ABAYOS,LACYOE,0.4000000059604645
ABAYOS,LACYUK,0.4000000059604645
